morpheme,type,case,number,perPoss,numbPoss,V-form,V-action1,V-action2,t-form,t-action1,t-action2,k-form,k-action1,k-action2,q-form,q-action1,q-action2,condPrec,sources
it,tn,nom,s,2,s,it,n,decap,it,i(i),,it,s,decap,it,s,decap,,H2
kkik,tn,nom,d,2,s,kkik,allV,x,kkik,iallV(i),,kkik,sallV,x,kkik,sallV,x,,H2
tit,tn,nom,p,2,s,tit,n,,tit,i(i),,tit,s,,tit,s,,,H2
vit,tn,gen,s,2,s,vit kpit,n n,,vit kpit,i(i) s,,vit kpit,s s,,vit pit,s n,,,H2
kpik,tn,gen,d,2,s,kpik kkik vit kpit ppit,allV allV allV allV allV,x x x x x,kpik kkik vit kpit ppit,iallV(i) iallV(i) iallV(i) iallV(i) iallV(i),,kpik kkik vit kpit ppit,sallV sallV sallV sallV sallV,x x x x x,kpik kkik vit kpit ppit,sallV sallV sallV sallV sallV,x x x x x,,H2
tit,tn,gen,p,2,s,tit vit kpit,n n n,,tit vit kpit,i(i) i(i) i(i),,tit vit kpit,s s s,,tit vit kpit,s s s,,,H2
ngnik,tn,acc,s,2,s,ngnik,n,,ngnik,i(i),,ngnik,s,,ngnik nik,s nas,,,H2
ngnik,tn,acc,d,2,s,ngnik,allV,x,ngnik,iallV(i),,ngnik,sallV,x,ngnik,sallV,x,,H2
ngnik,tn,acc,p,2,s,ngnik,n,,ngnik,i(i),,ngnik,s,,ngnik,s,,,H2
ngnut,tn,dat,s,2,s,ngnut,n,,ngnut,i(i),,ngnut,s,,ngnut nut,s nas,,,H2
ngnut,tn,dat,d,2,s,ngnut,allV,x,ngnut,iallV(i),,ngnut,sallV,x,ngnut,sallV,x,,H2
ngnut,tn,dat,p,2,s,ngnut,n,,ngnut,i(i),,ngnut,s,,ngnut,s,,,H2
ngnit,tn,abl,s,2,s,ngnit,n,,ngnit,i(i),,ngnit,s,,ngnit nit,s nas,,,H2
ngnit,tn,abl,d,2,s,ngnit,allV,x,ngnit,iallV(i),,ngnit,sallV,x,ngnit,sallV,x,,H2
ngnit,tn,abl,p,2,s,ngnit,n,,ngnit,i(i),,ngnit,s,,ngnit,s,,,H2
ngni,tn,loc,s,2,s,ngni,n,,ngni,i(i),,ngni,s,,ngni ni,s nas,,,H2
ngni,tn,loc,d,2,s,ngni,allV,x,ngni,iallV(i),,ngni,sallV,x,ngni,sallV,x,,H2
ngni,tn,loc,p,2,s,ngni,n,,ngni,i(i),,ngni,s,,ngni,s,,,H2
ktut,tn,sim,s,2,s,ktut,n,,ktut,i(i),,ktut,s,,ktut,s,,,H2
ktut,tn,sim,d,2,s,ktut,allV,x,ktut,iallV(i),,ktut,sallV,x,ktut,sallV,x,,H2
ktut,tn,sim,p,2,s,ktut ktitut,n n,,ktut ktitut,i(i) i(i),,ktut ktitut,s s,,ktut ktitut,s s,,,H2
kkut,tn,via,s,2,s,kkut,n,,kkut,i(i),,kkut,s,,kkut,s,,,H2
kkut,tn,via,d,2,s,kkut,allV,x,kkut,iallV(i),,kkut,sallV,x,kkut,sallV,x,,H2
ktigut,tn,via,p,2,s,ktigut,n,,ktigut,i(i),,ktigut,s,,ktigut,s,,,H2
tik,tn,nom,s,2,d,tik sik,n n,,tik sik,i(i) i(i),,tik sik,s s,,tik sik,s s,,,H2
ktik,tn,nom,d,2,d,ktik ksik,allV allV,x x,ktik ksik,iallV(i) iallV(i),,ktik ksik,sallV sallV,x x,ktik ksik,sallV sallV,x x,,H2
tik,tn,nom,p,2,d,tik sik,n n,,tik sik,i(i) i(i),,tik sik,s s,,tik sik,s s,,,H2
tsik,tn,gen,s,2,d,tsik,n,,tsik,i(i),,tsik,s,,tsik,s,,,H2
ktik,tn,gen,d,2,d,ktik ksik,allV allV,x x,ktik ksik,iallV(i) iallV(i),,ktik ksik,sallV sallV,x x,ktik ksik,sallV sallV,x x,,H2
tsik,tn,gen,p,2,d,tsik,n,,tsik,i(i),,tsik,s,,tsik,s,,,H2
psingnik,tn,acc,s,2,d,psingnik ptingnik,n n,,psingnik ptingnik,i(i) i(i),,psingnik ptingnik,s s,,psingnik ptingnik,s s,,,H2
ttinnik,tn,acc,d,2,d,ttinnik ssinnik ptingnik ksingnik ktingnik,allV allV allV allV allV,x x x x x,ttinnik ssinnik ptingnik ksingnik ktingnik,iallV(i) iallV(i) iallV(i) iallV(i) iallV(i),,ttinnik ssinnik ptingnik ksingnik ktingnik,sallV sallV sallV sallV sallV,x x x x x,ttinnik ssinnik ptingnik ksingnik ktingnik,sallV sallV sallV sallV sallV,x x x x x,,H2
ttinnik,tn,acc,p,2,d,ttinnik ssinnik ptingnik ssingnik tsingnik,n n n n n,,ttinnik ssinnik ptingnik ssingnik tsingnik,i(i) i(i) i(i) i(i) i(i),,ttinnik ssinnik ptingnik ssingnik tsingnik,s s s s s,,ttinnik ssinnik ptingnik ssingnik tsingnik,s s s s s,,,H2
ttinnut,tn,dat,s,2,d,ttinnut ssinnut ptingnut ssingnut tsingnut,n n n n n,,ttinnut ssinnut ptingnut ssingnut tsingnut,i(i) i(i) i(i) i(i) i(i),,ttinnut ssinnut ptingnut ssingnut tsingnut,s s s s s,,ttinnut ssinnut ptingnut ssingnut tsingnut,s s s s s,,,H2
ttinnut,tn,dat,d,2,d,ttinnut ssinnut ptingnut ksingnut ktingnut,allV allV allV allV allV,x x x x x,ttinnut ssinnut ptingnut ksingnut ktingnut,iallV(i) iallV(i) iallV(i) iallV(i) iallV(i),,ttinnut ssinnut ptingnut ksingnut ktingnut,sallV sallV sallV sallV sallV,x x x x x,ttinnut ssinnut ptingnut ksingnut ktingnut,sallV sallV sallV sallV sallV,x x x x x,,H2
ttinnut,tn,dat,p,2,d,ttinnut ssinnut ptingnut ssingnut tsingnut,n n n n n,,ttinnut ssinnut ptingnut ssingnut tsingnut,i(i) i(i) i(i) i(i) i(i),,ttinnut ssinnut ptingnut ssingnut tsingnut,s s s s s,,ttinnut ssinnut ptingnut ssingnut tsingnut,s s s s s,,,H2
ttinnit,tn,abl,s,2,d,ttinnit ssinnit ptingnit ssingnit tsingnit,n n n n n,,ttinnit ssinnit ptingnit ssingnit tsingnit,i(i) i(i) i(i) i(i) i(i),,ttinnit ssinnit ptingnit ssingnit tsingnit,s s s s s,,ttinnit ssinnit ptingnit ssingnit tsingnit,s s s s s,,,H2
ttinnit,tn,abl,d,2,d,ttinnit ssinnit ptingnit ksingnit ktingnit,allV allV allV allV allV,x x x x x,ttinnit ssinnit ptingnit ksingnit ktingnit,iallV(i) iallV(i) iallV(i) iallV(i) iallV(i),,ttinnit ssinnit ptingnit ksingnit ktingnit,sallV sallV sallV sallV sallV,x x x x x,ttinnit ssinnit ptingnit ksingnit ktingnit,sallV sallV sallV sallV sallV,x x x x x,,H2
ttinnit,tn,abl,p,2,d,ttinnit ssinnit ptingnit ssingnit tsingnit,n n n n n,,ttinnit ssinnit ptingnit ssingnit tsingnit,i(i) i(i) i(i) i(i) i(i),,ttinnit ssinnit ptingnit ssingnit tsingnit,s s s s s,,ttinnit ssinnit ptingnit ssingnit tsingnit,s s s s s,,,H2
ttinni,tn,loc,s,2,d,ttinni ssinni ptingni ssingni tsingni,n n n n n,,ttinni ssinni ptingni ssingni tsingni,i(i) i(i) i(i) i(i) i(i),,ttinni ssinni ptingni ssingni tsingni,s s s s s,,ttinni ssinni ptingni ssingni tsingni,s s s s s,,,H2
ttinni,tn,loc,d,2,d,ttinni ssinni ptingni ksingni ktingni,allV allV allV allV allV,x x x x x,ttinni ssinni ptingni ksingni ktingni,iallV(i) iallV(i) iallV(i) iallV(i) iallV(i),,ttinni ssinni ptingni ksingni ktingni,sallV sallV sallV sallV sallV,x x x x x,ttinni ssinni ptingni ksingni ktingni,sallV sallV sallV sallV sallV,x x x x x,,H2
ttinni,tn,loc,p,2,d,ttinni ssinni ptingni ssingni tsingni,n n n n n,,ttinni ssinni ptingni ssingni tsingni,i(i) i(i) i(i) i(i) i(i),,ttinni ssinni ptingni ssingni tsingni,s s s s s,,ttinni ssinni ptingni ssingni tsingni,s s s s s,,,H2
ttiktut,tn,sim,s,2,d,ttiktut ssiktut ptiktut tsiktut,n n n n,,ttiktut ssiktut ptiktut tsiktut,i(i) i(i) i(i) i(i),,ttiktut ssiktut ptiktut tsiktut,s s s s,,ttiktut ssiktut ptiktut tsiktut,s s s s,,,H2
ttiktut,tn,sim,d,2,d,ttiktut ssiktut ptiktut ksiktut ktiktut,allV allV allV allV allV,x x x x x,ttiktut ssiktut ptiktut ksiktut ktiktut,iallV(i) iallV(i) iallV(i) iallV(i) iallV(i),,ttiktut ssiktut ptiktut ksiktut ktiktut,sallV sallV sallV sallV sallV,x x x x x,ttiktut ssiktut ptiktut ksiktut ktiktut,sallV sallV sallV sallV sallV,x x x x x,,H2
ttiktut,tn,sim,p,2,d,ttiktut ssiktut ptiktut tsiktut,n n n n,,ttiktut ssiktut ptiktut tsiktut,i(i) i(i) i(i) i(i),,ttiktut ssiktut ptiktut tsiktut,s s s s,,ttiktut ssiktut ptiktut tsiktut,s s s s,,,H2
ttikkut,tn,via,s,2,d,ttikkut ssikkut ptikkut tsikkut,n n n n,,ttikkut ssikkut ptikkut tsikkut,i(i) i(i) i(i) i(i),,ttikkut ssikkut ptikkut tsikkut,s s s s,,ttikkut ssikkut ptikkut tsikkut,s s s s,,,H2
ttikkut,tn,via,d,2,d,ttikkut ssikkut ptikkut ksikkut ktikkut,allV allV allV allV allV,x x x x x,ttikkut ssikkut ptikkut ksikkut ktikkut,iallV(i) iallV(i) iallV(i) iallV(i) iallV(i),,ttikkut ssikkut ptikkut ksikkut ktikkut,sallV sallV sallV sallV sallV,x x x x x,ttikkut ssikkut ptikkut ksikkut ktikkut,sallV sallV sallV sallV sallV,x x x x x,,H2
ttikkut,tn,via,p,2,d,ttikkut ssikkut ptikkut tsikkut,n n n n,,ttikkut ssikkut ptikkut tsikkut,i(i) i(i) i(i) i(i),,ttikkut ssikkut ptikkut tsikkut,s s s s,,ttikkut ssikkut ptikkut tsikkut,s s s s,,,H2
si,tn,nom,s,2,p,si,n,,si,i(i),,si,s,,si,s,,,H2
ssi,tn,nom,d,2,p,ssi ksi si,allV allV allV,x x x,ssi ksi si,iallV(i) iallV(i) iallV(i),,ssi ksi si,sallV sallV sallV,x x x,ssi ksi si,sallV sallV sallV,x x x,,H2
si,tn,nom,p,2,p,si,n,,si,i(i),,si,s,,si,s,,,H2
ssi,tn,gen,s,2,p,ssi psi tsi,n n n,,ssi psi tsi,i(i) i(i) i(i),,ssi psi tsi,s s s,,ssi psi tsi,s s s,,,H2
ssi,tn,gen,d,2,p,ssi ksi,allV allV,x x,ssi ksi,iallV(i) iallV(i),,ssi ksi,sallV sallV,x x,ssi ksi,sallV sallV sallV,x x x,,H2
ssi,tn,gen,p,2,p,ssi psi tsi,n n n,,ssi psi tsi,i(i) i(i) i(i),,ssi psi tsi,s s s,,ssi psi tsi,s s s,,,H2
ssinnik,tn,acc,s,2,p,ssinnik psingnik tsingnik,n n n,,ssinnik psingnik tsingnik,i(i) i(i) i(i),,ssinnik psingnik tsingnik,s s s,,ssinnik psingnik tsingnik,s s s,,,H2
ssinnik,tn,acc,d,2,p,ssinnik psingnik tsingnik,allV allV allV,x x x,ssinnik psingnik tsingnik,iallV(i) iallV(i) iallV(i),,ssinnik psingnik tsingnik,sallV sallV sallV,x x x,ssinnik psingnik tsingnik,sallV sallV sallV,x x x,,H2
ssinnik,tn,acc,p,2,p,ssinnik psingnik tsingnik,n n n,,ssinnik psingnik ptingnik tsingnik,i(i) i(i) i(i) i(i),,ssinnik psingnik tsingnik,s s s,,ssinnik psingnik tsingnik,s s s,,,H2
ssinnut,tn,dat,s,2,p,ssinnut psingnut tsingnut,n n n,,ssinnut psingnut tsingnut,i(i) i(i) i(i),,ssinnut psingnut tsingnut,s s s,,ssinnut psingnut tsingnut,s s s,,,H2
ssinnut,tn,dat,d,2,p,ssinnut psingnut tsingnut,allV allV allV,x x x,ssinnut psingnut tsingnut,iallV(i) iallV(i) iallV(i),,ssinnut psingnut tsingnut,sallV sallV sallV,x x x,ssinnut psingnut tsingnut,sallV sallV sallV,x x x,,H2
ssinnut,tn,dat,p,2,p,ssinnut psingnut tsingnut,n n n,,ssinnut psingnut tsingnut,i(i) i(i) i(i),,ssinnut psingnut tsingnut,s s s,,ssinnut psingnut tsingnut,s s s,,,H2
ssinnit,tn,abl,s,2,p,ssinnit psingnit tsingnit,n n n,,ssinnit psingnit tsingnit,i(i) i(i) i(i),,ssinnit psingnit tsingnit,s s s,,ssinnit psingnit tsingnit,s s s,,,H2
ssinnit,tn,abl,d,2,p,ssinnit psingnit tsingnit,allV allV allV,x x x,ssinnit psingnit tsingnit,iallV(i) iallV(i) iallV(i),,ssinnit psingnit tsingnit,sallV sallV sallV,x x x,ssinnit psingnit tsingnit,sallV sallV sallV,x x x,,H2
ssinnit,tn,abl,p,2,p,ssinnit psingnit tsingnit,n n n,,ssinnit psingnit tsingnit,i(i) i(i) i(i),,ssinnit psingnit tsingnit,s s s,,ssinnit psingnit tsingnit,s s s,,,H2
ssinni,tn,loc,s,2,p,ssinni psingni tsingni,n n n,,ssinni psingni tsingni,i(i) i(i) i(i),,ssinni psingni tsingni,s s s,,ssinni psingni tsingni,s s s,,,H2
ssinni,tn,loc,d,2,p,ssinni psingni tsingni,allV allV allV,x x x,ssinni psingni tsingni,iallV(i) iallV(i) iallV(i),,ssinni psingni tsingni,sallV sallV sallV,x x x,ssinni psingni tsingni,sallV sallV sallV,x x x,,H2
ssinni,tn,loc,p,2,p,ssinni psingni tsingni,n n n,,ssinni psingni tsingni,i(i) i(i) i(i),,ssinni psingni tsingni,s s s,,ssinni psingni tsingni,s s s,,,H2
ssitut,tn,sim,s,2,p,ssitut psitut tsitut,n n n,,ssitut psitut tsitut,i(i) i(i) i(i),,ssitut psitut tsitut,s s s,,ssitut psitut tsitut,s s s,,,H2
ssitut,tn,sim,d,2,p,ssitut psitut tsitut,allV allV allV,x x x,ssitut psitut tsitut,iallV(i) iallV(i) iallV(i),,ssitut psitut tsitut,sallV sallV sallV,x x x,ssitut psitut tsitut,sallV sallV sallV,x x x,,H2
ssitut,tn,sim,p,2,p,ssitut psitut tsitut,n n n,,ssitut psitut tsitut,i(i) i(i) i(i),,ssitut psitut tsitut,s s s,,ssitut psitut tsitut,s s s,,,H2
ssigut,tn,via,s,2,p,ssigut psigut tsigut,n n n,,ssigut psigut tsigut,i(i) i(i) i(i),,ssigut psigut tsigut,s s s,,ssigut psigut tsigut,s s s,,,H2
ssigut,tn,via,d,2,p,ssigut psigut tsigut,allV allV allV,x x x,ssigut psigut tsigut,iallV(i) iallV(i) iallV(i),,ssigut psigut tsigut,sallV sallV sallV,x x x,ssigut psigut tsigut,sallV sallV sallV,x x x,,H2
ssigut,tn,via,p,2,p,ssigut psigut tsigut,n n n,,ssigut psigut tsigut,i(i) i(i) i(i),,ssigut psigut tsigut,s s s,,ssigut psigut tsigut,s s s,,,H2
ni,tn,nom,s,3,s,ni,n,,ni,i(i),,ni,s,,ni,s,,,H2
ngni,tn,nom,d,3,s,ngni,allV,x,ngni,iallV(i),,ngni,sallV,x,ngni,sallV,x,,H2
ni,tn,nom,p,3,s,ni,n,,ni,i(i),,ni,s,,ni,s,,,H2
mi,tn,gen,s,3,s,mi,n,,mi,i(i),,mi mmi,s s,,mi,nas,,,H2
ngmi,tn,gen,d,3,s,ngmi,allV,x,mmi ngmi,iallV(i),,ngmi,sallV,x,ngmi,sallV,x,,H2
mi,tn,gen,p,3,s,mi,n,,mi,i(i),,mi mmi,s s,,mi,nas,,,H2
minik,tn,acc,s,3,s,minik,n,,minik,i(i),,minik,s,,minik,nas,,,H2
ngminik,tn,acc,d,3,s,ngminik,allV,x,ngminik,iallV(i),,ngminik,sallV,x,ngminik,sallV,x,,H2
minik,tn,acc,p,3,s,minik,n,,minik,i(i),,minik,s,,minik,nas,,,H2
minut,tn,dat,s,3,s,minut,n,,minut,i(i),,minut,s,,minut,nas,,,H2
ngminut,tn,dat,d,3,s,ngminut,allV,x,ngminut,iallV(i),,ngminut,sallV,x,ngminut,sallV,x,,H2
minut,tn,dat,p,3,s,minut,n,,minut,i(i),,minut,s,,minut,nas,,,H2
minit,tn,abl,s,3,s,minit,n,,minit,i(i),,minit,s,,minit,nas,,,H2
ngminit,tn,abl,d,3,s,ngminit,allV,x,ngminit,iallV(i),,ngminit,sallV,x,ngminit,sallV,x,,H2
minit,tn,abl,p,3,s,minit,n,,minit,i(i),,minit,s,,minit,nas,,,H2
mini,tn,loc,s,3,s,mini,n,,mini,i(i),,mini,s,,mini,nas,,,H2
ngmini,tn,loc,d,3,s,ngmini,allV,x,ngmini,iallV(i),,ngmini,sallV,x,ngmini,sallV,x,,H2
mini,tn,loc,p,3,s,mini,n,,mini,i(i),,mini,s,,mini,nas,,,H2
mitut,tn,sim,s,3,s,mitut,n,,mitut,i(i),,mitut,s,,mitut,nas,,,H2
ngmitut,tn,sim,d,3,s,ngmitut,allV,x,ngmitut,iallV(i),,ngmitut,sallV,x,mmitut,sallV,x,,H2
mititut,tn,sim,p,3,s,mititut,n,,mititut,i(i),,mititut,s,,mititut,nas,,,H2
migut,tn,via,s,3,s,migut,n,,migut,i(i),,migut,s,,migut,nas,,,H2
