morpheme,type,mode,sameSubject,posneg,tense,dialect,specificity,perSubject,numbSubject,perObject,numbObject,V-form,V-action1,V-action2,t-form,t-action1,t-action2,k-form,k-action1,k-action2,q-form,q-action1,q-action2,condPrecSpecific,sources
tillunikkik,tv,part,non,pos,,"North Baffin, Cumberland Peninsula",sp,3,d,3,d,tillunikkik,n,,tillunikkik tillunikkik,n s,,tillunikkik,n,,tillunikkik,son,,,?
tillugik,tv,part,non,pos,,"North Baffin, Cumberland Peninsula",sp,4,d,3,d,tillugik,n,,tillugik tillugik,n s,,tillugik,n,,tillugik,son,,,?
tilluta,tv,part,non,pos,,"North Baffin, Cumberland Peninsula",sp,2,d,1,p,tilluta,n,,tilluta tilluta,n s,,tilluta,n,,tilluta,son,,,?
lugit,tv,part,oui,pos,prespas,Cumberland Peninsula,sp,1,d,3,p,lugit,i(l),,tugit,n,,tugit,n,,tugit,n,,,?
lugit,tv,part,oui,pos,prespas,Cumberland Peninsula,sp,2,d,3,p,lugit,i(l),,tugit,n,,tugit,n,,tugit,n,,,?
tillunitigut,tv,part,non,pos,,"North Baffin, Cumberland Peninsula",sp,3,d,1,p,tillunitigut,n,,tillunitigut tillunitigut,n s,,tillunitigut,n,,tillunitigut,son,,,?
tilluta,tv,part,non,pos,,"North Baffin, Cumberland Peninsula",sp,4,d,1,p,tilluta,n,,tilluta tilluta,n s,,tilluta,n,,tilluta,son,,,?
tillusi,tv,part,non,pos,,"North Baffin, Cumberland Peninsula",sp,1,d,2,p,tillusi,n,,tillusi tillusi,n s,,tillusi,n,,tillusi,son,,,?
tillunisi,tv,part,non,pos,,"North Baffin, Cumberland Peninsula",sp,3,d,2,p,tillunisi,n,,tillunisi tillunisi,n s,,tillunisi,n,,tillunisi,son,,,?
tillusi,tv,part,non,pos,,"North Baffin, Cumberland Peninsula",sp,4,d,2,p,tillusi,n,,tillusi tillusi,n s,,tillusi,n,,tillusi,son,,,?
tillugit,tv,part,non,pos,,"North Baffin, Cumberland Peninsula",sp,1,d,3,p,tillugit,n,,tillugit tillugit,n s,,tillugit,n,,tillugit,son,,,?
tillugit,tv,part,non,pos,,"North Baffin, Cumberland Peninsula",sp,2,d,3,p,tillugit,n,,tillugit tillugit,n s,,tillugit,n,,tillugit,son,,,?
tillunikkit,tv,part,non,pos,,"North Baffin, Cumberland Peninsula",sp,3,d,3,p,tillunikkit,n,,tillunikkit tillunikkit,n s,,tillunikkit,n,,tillunikkit,son,,,?
tillugit,tv,part,non,pos,,"North Baffin, Cumberland Peninsula",sp,4,d,3,p,tillugit,n,,tillugit tillugit,n s,,tillugit,n,,tillugit,son,,,?
tillunga,tv,part,non,pos,,"North Baffin, Cumberland Peninsula",sp,2,p,1,s,tillunga,n,,tillunga tillunga,n s,,tillunga,n,,tillunga,son,,,?
tilluninga,tv,part,non,pos,,"North Baffin, Cumberland Peninsula",sp,3,p,1,s,tilluninga,n,,tilluninga tilluninga,n s,,tilluninga,n,,tilluninga,son,,,?
tillunga,tv,part,non,pos,,"North Baffin, Cumberland Peninsula",sp,4,p,1,s,tillunga,n,,tillunga tillunga,n s,,tillunga,n,,tillunga,son,,,?
tillutit,tv,part,non,pos,,"North Baffin, Cumberland Peninsula",sp,1,p,2,s,tillutit,n,,tillutit tillutit,n s,,tillutit,n,,tillutit,son,,,?
tillunitit,tv,part,non,pos,,"North Baffin, Cumberland Peninsula",sp,3,p,2,s,tillunitit,n,,tillunitit tillunitit,n s,,tillunitit,n,,tillunitit,son,,,?
tillutit,tv,part,non,pos,,"North Baffin, Cumberland Peninsula",sp,4,p,2,s,tillutit,n,,tillutit tillutit,n s,,tillutit,n,,tillutit,son,,,?
tillugu,tv,part,non,pos,,"North Baffin, Cumberland Peninsula",sp,1,p,3,s,tillugu,n,,tillugu tillugu,n s,,tillugu,n,,tillugu,son,,,?
tillugu,tv,part,non,pos,,"North Baffin, Cumberland Peninsula",sp,2,p,3,s,tillugu,n,,tillugu tillugu,n s,,tillugu,n,,tillugu,son,,,?
tillunijjuk,tv,part,non,pos,,"North Baffin, Cumberland Peninsula",sp,3,p,3,s,tillunijjuk,n,,tillunijjuk tillunijjuk,n s,,tillunijjuk,n,,tillunijjuk,son,,,?
lunikkit,tv,part,oui,pos,prespas,Cumberland Peninsula,sp,3,d,3,p,lunikkit,i(l),,tunikkit,n,,tunikkit,n,,tunikkit,n,,,?
lugit,tv,part,oui,pos,prespas,Cumberland Peninsula,sp,4,d,3,p,lugit,i(l),,tugit,n,,tugit,n,,tugit,n,,,?
tillugu,tv,part,non,pos,,"North Baffin, Cumberland Peninsula",sp,4,p,3,s,tillugu,n,,tillugu tillugu,n s,,tillugu,n,,tillugu,son,,,?
tillunuk,tv,part,non,pos,,"North Baffin, Cumberland Peninsula",sp,2,p,1,d,tillunuk,n,,tillunuk tillunuk,n s,,tillunuk,n,,tillunuk,son,,,?
tillunitiguk,tv,part,non,pos,,"North Baffin, Cumberland Peninsula",sp,3,p,1,d,tillunitiguk,n,,tillunitiguk tillunitiguk,n s,,tillunitiguk,n,,tillunitiguk,son,,,?
tillunuk,tv,part,non,pos,,"North Baffin, Cumberland Peninsula",sp,4,p,1,d,tillunuk,n,,tillunuk tillunuk,n s,,tillunuk,n,,tillunuk,son,,,?
tillutik,tv,part,non,pos,,"North Baffin, Cumberland Peninsula",sp,1,p,2,d,tillutik,n,,tillutik tillutik,n s,,tillutik,n,,tillutik,son,,,?
tillunitik,tv,part,non,pos,,"North Baffin, Cumberland Peninsula",sp,3,p,2,d,tillunitik,n,,tillunitik tillunitik,n s,,tillunitik,n,,tillunitik,son,,,?
tillutik,tv,part,non,pos,,"North Baffin, Cumberland Peninsula",sp,4,p,2,d,tillutik,n,,tillutik tillutik,n s,,tillutik,n,,tillutik,son,,,?
tillugik,tv,part,non,pos,,"North Baffin, Cumberland Peninsula",sp,1,p,3,d,tillugik,n,,tillugik tilllugik,n s,,tillugik,n,,tillugik,son,,,?
tillugik,tv,part,non,pos,,"North Baffin, Cumberland Peninsula",sp,2,p,3,d,tillugik,n,,tillugik tillugik,n s,,tillugik,n,,tillugik,son,,,?
tillunigik,tv,part,non,pos,,"North Baffin, Cumberland Peninsula",sp,3,p,3,d,tillunigik,n,,tillunigik tillunigik,n s,,tillunigik,n,,tillunigik,son,,,?
tillugik,tv,part,non,pos,,"North Baffin, Cumberland Peninsula",sp,4,p,3,d,tillugik,n,,tillugik tillugik,n s,,tillugik,n,,tillugik,son,,,?
tilluta,tv,part,non,pos,,"North Baffin, Cumberland Peninsula",sp,2,p,1,p,tilluta,n,,tilluta tilluta,n s,,tilluta,n,,tilluta,son,,,?
tillunitigut,tv,part,non,pos,,"North Baffin, Cumberland Peninsula",sp,3,p,1,p,tillunitigut,n,,tillunitigut tillunitigut,n s,,tillunitigut,n,,tillunitigut,son,,,?
tilluta,tv,part,non,pos,,"North Baffin, Cumberland Peninsula",sp,4,p,1,p,tilluta,n,,tilluta tilluta,n s,,tilluta,n,,tilluta,son,,,?
tillusi,tv,part,non,pos,,"North Baffin, Cumberland Peninsula",sp,1,p,2,p,tillusi,n,,tillusi tillusi,n s,,tillusi,n,,tillusi,son,,,?
tillunisi,tv,part,non,pos,,"North Baffin, Cumberland Peninsula",sp,3,p,2,p,tillunisi,n,,tillunisi tillunisi,n s,,tillunisi,n,,tillunisi,son,,,?
tillusi,tv,part,non,pos,,"North Baffin, Cumberland Peninsula",sp,4,p,2,p,tillusi,n,,tillusi tillusi,n s,,tillusi,n,,tillusi,son,,,?
tillugit,tv,part,non,pos,,"North Baffin, Cumberland Peninsula",sp,1,p,3,p,tillugit,n,,tillugit tillugit,n s,,tillugit,n,,tillugit,son,,,?
lunga,tv,part,oui,pos,prespas,Cumberland Peninsula,sp,2,p,1,s,lunga,i(l),,tunga,n,,tunga,n,,tunga,n,,,?
luninga,tv,part,oui,pos,prespas,Cumberland Peninsula,sp,3,p,1,s,luninga,i(l),,tuninga,n,,tuninga,n,,tuninga,n,,,?
tillugit,tv,part,non,pos,,"North Baffin, Cumberland Peninsula",sp,2,p,3,p,tillugit,n,,tillugit tillugit,n s,,tillugit,n,,tillugit,son,,,?
tillunigit,tv,part,non,pos,,"North Baffin, Cumberland Peninsula",sp,3,p,3,p,tillunigit,n,,tillunigit tillunigit,n s,,tillunigit,n,,tillunigit,son,,,?
tillugit,tv,part,non,pos,,"North Baffin, Cumberland Peninsula",sp,4,p,3,p,tillugit,n,,tillugit tillugit,n s,,tillugit,n,,tillugit,son,,,?
tinnanga,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,2,s,1,s,tinnanga,n,,tinnanga tinnanga,n s,,tinnanga,n,,tinnanga,son,,,?
tinnaninga,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,3,s,1,s,tinnaninga,n,,tinnaninga tinnaninga,n s,,tinnaninga,n,,tinnaninga,son,,,?
tinnanga,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,4,s,1,s,tinnanga,n,,tinnanga tinnanga,n s,,tinnanga,n,,tinnanga,son,,,?
tinnak,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,1,s,2,s,tinnak,n,,tinnak tinnak,n s,,tinnak,n,,tinnak,son,,,?
tinnanitit,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,3,s,2,s,tinnanitit,n,,tinnanitit tinnanitit,n s,,tinnanitit,n,,tinnanitit,son,,,?
tinnak,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,4,s,2,s,tinnak,n,,tinnak tinnak,n s,,tinnak,n,,tinnak,son,,,?
tinnagu,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,1,s,3,s,tinnagu,n,,tinnagu tinnagu,n s,,tinnagu,n,,tinnagu,son,,,?
tinnagu,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,2,s,3,s,tinnagu,n,,tinnagu tinnagu,n s,,tinnagu,n,,tinnagu,son,,,?
tinnaniuk,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,3,s,3,s,tinnaniuk,n,,tinnaniuk tinnaniuk,n s,,tinnaniuk,n,,tinnaniuk,son,,,?
tinnagu,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,4,s,3,s,tinnagu,n,,tinnagu tinnagu,n s,,tinnagu,n,,tinnagu,son,,,?
tinnanuk,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,2,s,1,d,tinnanuk,n,,tinnanuk tinnanuk,n s,,tinnanuk,n,,tinnanuk,son,,,?
tinnanitiguk,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,3,s,1,d,tinnanitiguk,n,,tinnanitiguk tinnanitiguk,n s,,tinnanitiguk,n,,tinnanitiguk,son,,,?
tinnanuk,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,4,s,1,d,tinnanuk,n,,tinnanuk tinnanuk,n s,,tinnanuk,n,,tinnanuk,son,,,?
tinnatik,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,1,s,2,d,tinnatik,n,,tinnatik tinnatik,n s,,tinnatik,n,,tinnatik,son,,,?
lunga,tv,part,oui,pos,prespas,Cumberland Peninsula,sp,4,p,1,s,lunga,i(l),,tunga,n,,tunga,n,,tunga,n,,,?
lutit,tv,part,oui,pos,prespas,Cumberland Peninsula,sp,1,p,2,s,lutit,i(l),,tutit,n,,tutit,n,,tutit,n,,,?
lunitit,tv,part,oui,pos,prespas,Cumberland Peninsula,sp,3,p,2,s,lunitit,i(l),,tunitit,n,,tunitit,n,,tunitit,n,,,?
tinnanitik,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,3,s,2,d,tinnanitik,n,,tinnanitik tinnanitik,n s,,tinnanitik,n,,tinnanitik,son,,,?
tinnatik,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,4,s,2,d,tinnatik,n,,tinnatik tinnatik,n s,,tinnatik,n,,tinnatik,son,,,?
tinnagik,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,1,s,3,d,tinnagik,n,,tinnagik tinnagik,n s,,tinnagik,n,,tinnagik,son,,,?
tinnagik,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,2,s,3,d,tinnagik,n,,tinnagik tinnagik,n s,,tinnagik,n,,tinnagik,son,,,?
tinnanigik,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,3,s,3,d,tinnanigik,n,,tinnanigik tinnanigik,n s,,tinnanigik,n,,tinnanigik,son,,,?
tinnagik,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,4,s,3,d,tinnagik,n,,tinnagik tinnagik,n s,,tinnagik,n,,tinnagik,son,,,?
tinnata,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,2,s,1,p,tinnata,n,,tinnata tinnata,n s,,tinnata,n,,tinnata,son,,,?
tinnanitigut,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,3,s,1,p,tinnanitigut,n,,tinnanitigut tinnanitigut,n s,,tinnanitigut,n,,tinnanitigut,son,,,?
tinnata,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,4,s,1,p,tinnata,n,,tinnata tinnata,n s,,tinnata,n,,tinnata,son,,,?
tinnasi,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,1,s,2,p,tinnasi,n,,tinnasi tinnasi,n s,,tinnasi,n,,tinnasi,son,,,?
tinnanisi,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,3,s,2,p,tinnanisi,n,,tinnanisi tinnanisi,n s,,tinnanisi,n,,tinnanisi,son,,,?
tinnasi,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,4,s,2,p,tinnasi,n,,tinnasi tinnasi,n s,,tinnasi,n,,tinnasi,son,,,?
tinnagit,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,1,s,3,p,tinnagit,n,,tinnagit tinnagit,n s,,tinnagit,n,,tinnagit,son,,,?
tinnagit,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,2,s,3,p,tinnagit,n,,tinnagit tinnagit,n s,,tinnagit,n,,tinnagit,son,,,?
tinnanigit,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,3,s,3,p,tinnanigit,n,,tinnanigit tinnanigit,n s,,tinnanigit,n,,tinnanigit,son,,,?
tinnagit,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,4,s,3,p,tinnagit,n,,tinnagit tinnagit,n s,,tinnagit,n,,tinnagit,son,,,?
tinnanga,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,2,d,1,s,tinnanga,n,,tinnanga tinnanga,n s,,tinnanga,n,,tinnanga,son,,,?
lutit,tv,part,oui,pos,prespas,Cumberland Peninsula,sp,4,p,2,s,lutit,i(l),,tutit,n,,tutit,n,,tutit,n,,,?
lugu,tv,part,oui,pos,prespas,Cumberland Peninsula,sp,1,p,3,s,lugu,i(l),,tugu,n,,tugu,n,,tugu,n,,,?
lugu,tv,part,oui,pos,prespas,Cumberland Peninsula,sp,2,p,3,s,lugu,i(l),,tugu,n,,tugu,n,,tugu,n,,,?
tinnaninga,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,3,d,1,s,tinnaninga,n,,tinnaninga tinnaninga,n s,,tinnaninga,n,,tinnaninga,son,,,?
tinnanga,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,4,d,1,s,tinnanga,n,,tinnanga tinnanga,n s,,tinnanga,n,,tinnanga,son,,,?
tinnak,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,1,d,2,s,tinnak,n,,tinnak tinnak,n s,,tinnak,n,,tinnak,son,,,?
tinnanitit,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,3,d,2,s,tinnanitit,n,,tinnanitit tinnanitit,n s,,tinnanitit,n,,tinnanitit,son,,,?
tinnak,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,4,d,2,s,tinnak,n,,tinnak tinnak,n s,,tinnak,n,,tinnak,son,,,?
tinnagu,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,1,d,3,s,tinnagu,n,,tinnagu tinnagu,n s,,tinnagu,n,,tinnagu,son,,,?
tinnagu,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,2,d,3,s,tinnagu,n,,tinnagu tinnagu,n s,,tinnagu,n,,tinnagu,son,,,?
tinnanikku,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,3,d,3,s,tinnanikku,n,,tinnanikku tinnaniku,n s,,tinnanikku,n,,tinnanikku,son,,,?
tinnagu,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,4,d,3,s,tinnagu,n,,tinnagu tinnagu,n s,,tinnagu,n,,tinnagu,son,,,?
tinnanuk,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,2,d,1,d,tinnanuk,n,,tinnanuk tinnanuk,n s,,tinnanuk,n,,tinnanuk,son,,,?
tinnanitiguk,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,3,d,1,d,tinnanitiguk,n,,tinnanitiguk tinnanitiguk,n s,,tinnanitiguk,n,,tinnanitiguk,son,,,?
tinnanuk,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,4,d,1,d,tinnanuk,n,,tinnanuk tinnanuk,n s,,tinnanuk,n,,tinnanuk,son,,,?
tinnatik,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,1,d,2,d,tinnatik,n,,tinnatik tinnatik,n s,,tinnatik,n,,tinnatik,son,,,?
tinnanitik,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,3,d,2,d,tinnanitik,n,,tinnanitik tinnanitik,n s,,tinnanitik,n,,tinnanitik,son,,,?
tinnatik,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,4,d,2,d,tinnatik,n,,tinnatik tinnatik,n s,,tinnatik,n,,tinnatik,son,,,?
tinnagik,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,1,d,3,d,tinnagik,n,,tinnagik tinnagik,n s,,tinnagik,n,,tinnagik,son,,,?
lunijjuk,tv,part,oui,pos,prespas,Cumberland Peninsula,sp,3,p,3,s,lunijjuk,i(l),,tunijjuk,n,,tunijjuk,n,,tunijjuk,n,,,?
lugu,tv,part,oui,pos,prespas,Cumberland Peninsula,sp,4,p,3,s,lugu,i(l),,tugu,n,,tugu,n,,tugu,n,,,?
lunuk,tv,part,oui,pos,prespas,Cumberland Peninsula,sp,2,p,1,d,lunuk,i(l),,tunuk,n,,tunuk,n,,tunuk,n,,,?
tinnagik,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,2,d,3,d,tinnagik,n,,tinnagik tinnagik,n s,,tinnagik,n,,tinnagik,son,,,?
tinnanikkik,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,3,d,3,d,tinnanikkik,n,,tinnanikkik tinnanikkik,n s,,tinnanikkik,n,,tinnanikkik,son,,,?
tinnagik,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,4,d,3,d,tinnagik,n,,tinnagik tinnagik,n s,,tinnagik,n,,tinnagik,son,,,?
tinnata,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,2,d,1,p,tinnata,n,,tinnata tinnata,n s,,tinnata,n,,tinnata,son,,,?
tinnanitigut,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,3,d,1,p,tinnanitigut,n,,tinnanitigut tinnanitigut,n s,,tinnanitigut,n,,tinnanitigut,son,,,?
tinnata,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,4,d,1,p,tinnata,n,,tinnata tinnata,n s,,tinnata,n,,tinnata,son,,,?
tinnasi,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,1,d,2,p,tinnasi,n,,tinnasi tinnasi,n s,,tinnasi,n,,tinnasi,son,,,?
tinnanisi,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,3,d,2,p,tinnanisi,n,,tinnanisi tinnanisi,n s,,tinnanisi,n,,tinnanisi,son,,,?
tinnasi,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,4,d,2,p,tinnasi,n,,tinnasi tinnasi,n s,,tinnasi,n,,tinnasi,son,,,?
tinnagit,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,1,d,3,p,tinnagit,n,,tinnagit tinnagit,n s,,tinnagit,n,,tinnagit,son,,,?
tinnagit,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,2,d,3,p,tinnagit,n,,tinnagit tinnagit,n s,,tinnagit,n,,tinnagit,son,,,?
tinnanikkit,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,3,d,3,p,tinnanikkit,n,,tinnanikkit tinnanikkit,n s,,tinnanikkit,n,,tinnanikkit,son,,,?
tinnagit,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,4,d,3,p,tinnagit,n,,tinnagit tinnagit,n s,,tinnagit,n,,tinnagit,son,,,?
tinnanga,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,2,p,1,s,tinnanga,n,,tinnanga tinnanga,n s,,tinnanga,n,,tinnanga,son,,,?
tinnaninga,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,3,p,1,s,tinnaninga,n,,tinnaninga tinnaninga,n s,,tinnaninga,n,,tinnaninga,son,,,?
tinnanga,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,4,p,1,s,tinnanga,n,,tinnanga tinnanga,n s,,tinnanga,n,,tinnanga,son,,,?
tinnak,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,1,p,2,s,tinnak,n,,tinnak tinnak,n s,,tinnak,n,,tinnak,son,,,?
lunitiguk,tv,part,oui,pos,prespas,Cumberland Peninsula,sp,3,p,1,d,lunitiguk,i(l),,tunitiguk,n,,tunitiguk,n,,tunitiguk,n,,,?
lunuk,tv,part,oui,pos,prespas,Cumberland Peninsula,sp,4,p,1,d,lunuk,i(l),,tunuk,n,,tunuk,n,,tunuk,n,,,?
lutik,tv,part,oui,pos,prespas,Cumberland Peninsula,sp,1,p,2,d,lutik,i(l),,tutik,n,,tutik,n,,tutik,n,,,?
tinnanitit,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,3,p,2,s,tinnanitit,n,,tinnanitit tinnanitit,n s,,tinnanitit,n,,tinnanitit,son,,,?
tinnak,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,4,p,2,s,tinnak,n,,tinnak tinnak,n s,,tinnak,n,,tinnak,son,,,?
tinnagu,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,1,p,3,s,tinnagu,n,,tinnagu tinnagu,n s,,tinnagu,n,,tinnagu,son,,,?
tinnagu,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,2,p,3,s,tinnagu,n,,tinnagu tinnagu,n s,,tinnagu,n,,tinnagu,son,,,?
tinnanijjuk,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,3,p,3,s,tinnanijjuk,n,,tinnanijjuk tinnanijjuk,n s,,tinnanijjuk,n,,tinnanijjuk,son,,,?
tinnagu,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,4,p,3,s,tinnagu,n,,tinnagu tinnagu,n s,,tinnagu,n,,tinnagu,son,,,?
tinnanuk,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,2,p,1,d,tinnanuk,n,,tinnanuk tinnanuk,n s,,tinnanuk,n,,tinnanuk,son,,,?
tinnanitiguk,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,3,p,1,d,tinnanitiguk,n,,tinnanitiguk tinnanitiguk,n s,,tinnanitiguk,n,,tinnanitiguk,son,,,?
tinnanuk,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,4,p,1,d,tinnanuk,n,,tinnanuk tinnanuk,n s,,tinnanuk,n,,tinnanuk,son,,,?
tinnatik,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,1,p,2,d,tinnatik,n,,tinnatik tinnatik,n s,,tinnatik,n,,tinnatik,son,,,?
tinnanitik,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,3,p,2,d,tinnanitik,n,,tinnanitik tinnanitik,n s,,tinnanitik,n,,tinnanitik,son,,,?
tinnatik,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,4,p,2,d,tinnatik,n,,tinnatik tinnatik,n s,,tinnatik,n,,tinnatik,son,,,?
tinnagik,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,1,p,3,d,tinnagik,n,,tinnagik tinnagik,n s,,tinnagik,n,,tinnagik,son,,,?
tinnagik,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,2,p,3,d,tinnagik,n,,tinnagik tinnagik,n s,,tinnagik,n,,tinnagik,son,,,?
tinnanigik,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,3,p,3,d,tinnanigik,n,,tinnanigik tinnanigik,n s,,tinnanigik,n,,tinnanigik,son,,,?
tinnagik,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,4,p,3,d,tinnagik,n,,tinnagik tinnagik,n s,,tinnagik,n,,tinnagik,son,,,?
tinnata,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,2,p,1,p,tinnata,n,,tinnata tinnata,n s,,tinnata,n,,tinnata,son,,,?
lunitik,tv,part,oui,pos,prespas,Cumberland Peninsula,sp,3,p,2,d,lunitik,i(l),,tunitik,n,,tunitik,n,,tunitik,n,,,?
lutik,tv,part,oui,pos,prespas,Cumberland Peninsula,sp,4,p,2,d,lutik,i(l),,tutik,n,,tutik,n,,tutik,n,,,?
lugik,tv,part,oui,pos,prespas,Cumberland Peninsula,sp,1,p,3,d,lugik,i(l),,tugik,n,,tugik,n,,tugik,n,,,?
tinnanitigut,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,3,p,1,p,tinnanitigut,n,,tinnanitigut tinnanitigut,n s,,tinnanitigut,n,,tinnanitigut,son,,,?
tinnata,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,4,p,1,p,tinnata,n,,tinnata tinnata,n s,,tinnata,n,,tinnata,son,,,?
tinnasi,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,1,p,2,p,tinnasi,n,,tinnasi tinnasi,n s,,tinnasi,n,,tinnasi,son,,,?
tinnanisi,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,3,p,2,p,tinnanisi,n,,tinnanisi tinnanisi,n s,,tinnanisi,n,,tinnanisi,son,,,?
tinnasi,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,4,p,2,p,tinnasi,n,,tinnasi tinnasi,n s,,tinnasi,n,,tinnasi,son,,,?
tinnagit,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,1,p,3,p,tinnagit,n,,tinnagit tinnagit,n s,,tinnagit,n,,tinnagit,son,,,?
tinnagit,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,2,p,3,p,tinnagit,n,,tinnagit tinnagit,n s,,tinnagit,n,,tinnagit,son,,,?
tinnanigit,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,3,p,3,p,tinnanigit,n,,tinnanigit tinnanigit,n s,,tinnanigit,n,,tinnanigit,son,,,?
tinnagit,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,4,p,3,p,tinnagit,n,,tinnagit tinnagit,n s,,tinnagit,n,,tinnagit,son,,,?
nanga,tv,part,oui,neg,,"North Baffin, Cumberland Peninsula",sp,2,s,1,s,nanga,n,,nanga,nas,,nanga ranga,nas fus,,nanga,son,,,?
