morpheme,variant,nb,type,transitivity,nature,number,compositionRoot,intransSuffix,transSuffix,antipassive,engMean,freMean,combination,dialect,root,rootType,rootNb,END
ilinniarvik,,,n,,,,,,,,school,�cole,,,ilinniaq,,,.
ilinniut,,,n,,,,,,,,school-book; school-text,livre d'�cole,,,ilinniaq,,,.
iliqqusiq,,,n,,,,,,,,"custom, manner, habit","coutume, mani�re, habitude",,wchb northbaffin,,,,.
ilirnikku,,,n,,,,,,,,remnant; scrap; left-over,reste; vestige; restant,,,,,,.
ilisaiji,,,n,,,,,,,,teacher,"professeur, enseignant",ilit/1v+saq/1vv+i/1vv+ji/1vn,,ilit,,,.
ilisaq,,,v,i,,,,,,,"to learn, study, go to school",apprendre; �tudier; aller � l'�cole,,,ilit,,,.
ilisima,,,v,i,,,,,,,"to have been educated, to be learned in something","�tre �duqu�, �tre connaissant dans un domaine",,,ilit,,,.
illaigut,illaigutik,,n,,,,,,,,comb,peigne,,,illa,n,,.
illaulik,,,n,,zoo,,,,,,pregnant cow,vache enceinte,,,illaut,,,.
illuarjuk,,,n,,,,,,,,cousin (general),cousin (g�n�ral),,southbaffin,,,,.
iluma,,1,v,i,a,,,,,,to be frosted up from condensation,�tre givr� par la condensation,,,ilu,n,2,.
ilupaq,,,n,,,,,,,,inner or under garment,v�tement int�rieur ou sous-v�tement,,,ilu,,1,.
ilupiruk,,,n,,,,,,,,under garment,sous-v�tement,,,ilu,,1,.
ilusima,,1,v,i,a,,,,,,to be frosted up from condensation,�tre givr� par la condensation,,,ilu,n,2,.
ilusiq,,2,n,,,,,,,,"custom, manner, habit","coutume, mani�re, habitude",,,,,,.
ilut,,,n,,,,,,,,inside layer of fat in caribou intestines,couche interne de gras dans l'intestin du caribou,,,ilu,,1,.
ilutak,,,n,,,,,,,,groin; inside of the leg,aine; int�rieur de la jambe,,,ilu,,1,.
ilutakkut,,,a,,,,,,,,to the left side of an object,� gauche d'un objet,,,ilu,,1,.
ilutakkut,,,v,i,,,,,,,to be missed by being shot to the left,�tre rat� � cause d'un tir trop � gauche,,,ilu,,1,.
iluviq,,,n,,,,,,,,grave,tombe,,,ilu,,1,.
iluviq,,,v,i,,,,,,,to be buried,se faire enterrer,,,ilu,,1,.
iluvirvik,,,n,,,,,,,,graveyard,cimeti�re,,,iluviq,n,,.
imaaq,,1,v,i,,,,,,,to be pushed or knocked into the water,�tre pouss� dans l'eau,,,imaq,n,1,.
imaaq,,2,v,i,,,,,,,to fall in the water or get wet,tomber � l'eau; se faire mouiller,,,imaq,n,1,.
imaaqsuuq,,,n,,,,,,,,swamp; marsh,mar�cage; marais,,,imaq,n,1,.
imaijaut,,,n,,,,,,,,pump,pompe,,,imaq,n,1,.
imaqarvik,,,n,,,,,,,,place to keep water,endroit o� garder de l'eau,,,imaq,n,1,.
imataarvik,,,n,,,,,,,,well; water-hole,puit; trou d'eau,,,imaq,n,1,.
imauniq,,,n,,,,,,,,passage of water between ice fields,passage d'eau entre des plaques de glace,,,imaq,n,1,.
imaut,,,n,,,,,,,,water glass; goblet,verre � boire; gobelet,,,imaq,n,1,.
imavissiuq,,,v,i,,,,,,,"to travel through, on the sea",traverser la mer,,,imaq,n,1,.
imialuk,,,n,,,,,,,,whisky; hard liquor,whisky; liqueur alcoolis�e,,,imiq,,,.
imingnailaq,,,n,,,,,,,,cloudy dull weather,temps gris nuageux,,,imingnak,,,.
imiqqutailaq,,2,n,,zoo,,,,,,tern,hirondelle de mer,,,imiq,,,.
imiqutak,,2,n,,,,,,,,groin; inside of leg,aine; int�rieur de la jambe,,natt,,,,.
immakallak,,,a,,,,,,,,in ancient times,dans les temps anciens,,,imma,,,.
immualuk,,,n,,,,,,,,cheese,fromage,,,immuk,,,.
immuksaut,,,n,,,,,,,,powdered milk,lait en poudre,,,immuk,,,.
immuujaartuq,,,n,,,,,,,,butter,beurre,,wchb,immuk,,,.
imrngilaaq,irngilaaq,1,v,i,,,,,,,"to growl, speaking of a polar bear","grogner, en parlant de l'ours polaire",,,,,,.
imujaksaq,,,n,,,,,,,,fine-cut cigarette tobacco,tabac � cigarette finement coup�,,wchb,imu,,,.
imulluq,,,n,,,,,,,,wrinkle; crease,pli,,,imu,,,.
imunganiq,,,n,,,,,,,,crease; fold,pli,,,imu,,,.
imutiksaq,,,n,,,,,,,,cigarette paper,papier � cigarette,,northbaffin,imu,,,.
inangiq,,,v,i,,,,,,,to take one's place,prendre sa place,,,ini,,1,.
ingiaqati,,,n,,,,,,,,"companion, chum","compagnion, copain",,,ingiaq,,,.
ingirrajaq,,,v,i,,,,,,,to travel,voyager,,,ingirra,,,.
ingirrajaq,,,n,,,,,,,,checker or chessman,pion du jeu d'�checs,,northbaffin,ingirra,,,.
ingirrajarvik,,,n,,,,,,,,"chess, checker board",�chiquier,,northbaffin,ingirrajaq,n,,.
ingirraniq,,,n,,,,,,,,"water, ocean current","courant d'eau, de l'oc�an",,,ingirra,,,.
ingiulliq,,2,v,i,,,,,,,"to swell or to rise and fall in swells, speaking of the sea","être houleuse, en parlant de la mer",,,,,,
ingiullirngu,,1,v,i,a,,,,,,to be sea-sick,avoir le mal de mer,,,,,,.
iniksaq,,,n,,,,,,,,place for something; room,salle; pi�ce; chambre,,,ini,,1,.
iniqunak,,1,v,i,a,,,,,,"to be beautiful, good-looking, handsome","�tre beau, de belle apparence, en parlant d'une personne",,,,,,.
inirniq,,2,n,,,,,,,,adult,adulte,,natt,iniq,,,.
initaq,,,n,,,,,,,,drying rack above lamp,"cadre � s�cher, au dessus d'une lampe",,,ini,v,,.
innaarulaaq,,,n,,,,,,,,hillside,flan de coteau,,,innaaq,,,.
innaaruq,,,n,,,,,,,,small cliff wall or hillside,"petit mur de falaise ou d'escarpement, ou petit flan de coteau",,,innaaq,,,.
innarviut,,1,n,,,,,,,,hunting bag,sac de chasse; besace,,,,,,.
inngiqataujut,,,n,,,p,,,,,choir; singing group,choeur; groupe qui chante,,,inngiq,,,.
inngiriaqtuq,,,v,i,,,,,,,to go off to church,aller � l'�glise,,,inngiq,,,.
inngiritti,,,v,i,,,,,,,to play the accordion,jouer de l'accord�on,,wchb,,,,.
inngirittijjut,,,n,,,p,,,,,accordion,accord�on,,wchb,inngiritti,,,.
inngirusiq,,,n,,,,,,,,singing style; type of song,style de chant; type de chanson,,,inngiq,,,.
inngirut,,,n,,,,,,,,accordion,acoord�on,,northbaffin,inngiq,,,.
inuaq,,,v,i,,,,,nil,,"to murder, kill someone","tuer, assassiner qqn",,,inuk,,,.
inugaq,,,n,,,,,,,,"toes, fingers (collectively)","orteils, doigts (collectivement)",,,inuk,,,.
inugiak,,,n,,,,,,,,population,population,,,,,,.
inuilaq,,,n,,,,,,,,wilderness,nature sauvage,,,inuk,,,.
inukpak,,,n,,,,,,,,giant,g�ant,,,inuk,,,.
inuksuk,,,n,,,,,,,,traditional stone beacon made of piled stones,balise traditionnelle en pierre faite de cailloux empil�s,,,inuk,,,.
inuliriji,,,n,,,,,,,,social worker,travailleur social,,,,,,.
inuu,,,v,i,,,,,,,to be born; to be alive,�tre n�; �tre vivant,,,inuk,,,.
inuuniq,,,n,,,,,,,,life; living,vie,,,inuk,,,.
inuuq,,,v,i,,,,,,,to be not reacheable or attainable,�tre inaccessible,,,inuk,,,.
inuuvvik,,,n,,,,,,,,birth place or date,date ou lieu de naissance,,,inuk,,,.
iqigagiarjuk,,1,n,,zoo,,,,,,small Franklin-type sea gull,petite mouette ressemblant � la mouette de Flanklin,,,,,,.
iqqanaijaq,iqanaijaq,,v,i,,,,,,nil,to work (trans.: at making s.t.),travailler (trans.: sur qqch. qu'on fabrique)),iqqaq/1v+naq/1vv+iq/2vv+jaq/2vv,,,,,.
iqqanaiq,iqanaiq,2,v,t,,,,,,si/1vv,to have finished making or doing s.t.; to work; to have a job[P]to be finished being made or done,avoir fini de faire quelque chose; travailler; avoir un emploi[P]�tre fini d'�tre fait,,,?,,,.
iqqavik,,1,n,,,,,,,,entrails; innards; guts,entrailles; tripes,,,,,,.
irngilaaq,,,v,i,,,,,,,for a bolar bear to growl,"grogner, en parlant de l'ours polaire",,northbaffin,,,,.
irnisuk,,1,v,t,,,,,,si/1vv,[-R]to /help s.o. deliver the baby [R]to be in labour; to be about to give birth,"[-R]/aider qqn � accoucher[R]�tre sur le point, ou en train d'accoucher",,,,,,.
irsivik,,1,n,,,,,,,,box,bo�te,,,,,,.
irsuujat,,1,n,,bot,p,,,,,edible sea-weed,algue comestible,,,,,,.
isumataq,,,n,,,,,,,,boss,patron,,,,,,.
itingmik,,1,v,t,,,,,,si/1vv,to /kick s.t. with the foot,[T]donner un coup de pied � qqn[P]se faire donner un coup de pied[R]se donner un coup de pied,,,,,,.
ivalluk,,1,v,i,,,,,,,to remove the sinew from a caribou or white whale,enlever les tendons d'un caribou ou d'une baleine blanche,,,ivaluk,n,1,.
ivumi,,1,v,i,,,,,,,"to swell and die, speaking of a noise in the distance","grossir et mourir, en parlant d'un bruit dans le lointain",,,,,,.
ivutuq,,1,v,i,a,,,,,,to be a noise heard from a distance but the cause is unseen,�tre un bruit entendu dans le lointain mais la cause est inconnue,,,,,,.
kiigiaq,,,n,,,,,,,,beaver,castor,,,,,,.
kiinaujaq,,1,n,,,,,,,,money,argent,kiinaq/1n+u/1nv+jaq/3vn,,kiinaq,n,1,.
killaq,,1,n,,,,,,,,melted hole,trou fondu,,,kilaa,n,1,.
killiq,,1,n,,,,,,,,cut; gash; minor wound,coupure; entaille; blessure mineure,,,kiliq,v,1,.
kiluaq,,1,v,t,res,,,,,si/1vv,[-R]to /rip or /undo s.t. (a garment at the seam) [R]to rip or come apart at the seam,/d�chirer ou /d�faire qqch. (un v�tement au niveau de la couture),,,kilu,n,1,.
kimmiqquq,,1,n,,ana,,,,,,achilles talon,talon d'achille,,,kimmik,n,1,.
kingaruq,,1,n,,,,,,,,small hill; knoll,petite colline; butte,,,kingaq,n,1,.
kisutuinnaq,,1,p,,,,,,,,anything,n'importe quoi,kisu/1p+tuinnaq/2nn,,,,,.
kubluruq,,1,n,,,,,,,,hind nail of a dog's or caribou's foot,griffe arri�re de la patte d'un chien ou d'un caribou,,,kublu,n,1,.
kuussiniq,,1,n,,ana,,,,,,spine from lower rib to sacrum; spine or back-bone of lumbar region,"partie de la colonne vert�brale, de la c�te inf�rieure jusqu'au sacrum, de la r�gion lombaire",,,kuussiq,n,1,.
kuviraut,,1,n,,,,,,,,an igloo floor which has been iced to make it tidy,plancher d'un igloo qui a �t� glac� pour le rendre propre,,,,,,.
majuqqaq,,1,n,,,,,,,,ascent; rise; s.t. requiring a climb,mont�e; ascension; qqch. qui requiert de monter,,,majuq,v,1,.
makpataq,,1,n,,,,,,,,snow-block cut from surface,bloc de neige coup� � la surface du sol,,,makpat,v,1,.
maligaliurvik,,1,n,,,,,,,,legislative assembly,assembl�e l�gislative,malik/1v+gaq/1vn+liuq/1nv+vik/3vn,,malik,v,1,.
maligaq,,1,n,,,,,,,,bill,loi; r�glement,malik/1v+gaq/1vn,,malik,v,1,.
naalagaq,,,n,,,,,,,,boss; authority,patron; authorit�,,,,,,.
naassingujaaq,,1,n,,,,,,,,Sunday,dimanche,,N. Baffin,,,,.
nagajjauq,,2,n,,,,,,,,Monday,lundi,,N. Baffin,,,,.
nakit,,,a,,abl,,,,,,whence; from what place,d'o�,,,,,,.
nalunak,,,v,i,a,,,,,,"to be unclear, confusing","ne pas �tre clair, porter � confusion",,,nalu,,,.
nalunaq,,,n,,,,,,,,confusion,confusion,,,nalu,,,.
namut,,,p,,dat,,,,,,whither; to what place,vers o�,,,,,,.
nani,,,a,,loc,,,,,,where; in what place,o�; � quel endroit,,,,,,.
naukkut,,,a,,via,,,,,,through what place,� travers o�,,,,,,.
nauktaima,,,a,,,,,,,,where is,o� est,,,,,,.
nimiriaq,,,n,,,,,,,,snake,serpent,,,,,,.
niruaqtaujumajuq,,,n,,,,,,,,candidate,candidat,,,,,,.
nuliaq,,2,n,,,,,,,,wife,�pouse,,,,,,.
nunaqaq,,,v,i,,,,,,,live in,demeurer �,,,,,,.
pinasuarusiq,,,n,,,,,,,,week,semaine,,,,,,.
pingasut,,1,n,,nb,,,,,,three; number three,trois,pingasu/1n+t/?,,,,,.
piqati,,,n,,,,,,,,partner,partenaire,,,,,,.
piqusiq,,1,n,,,,,,,,"custom, manner, habit","coutume, mani�re, habitude",,wchb northbaffin,,,,.
qangatasuuq,,,n,,,,,,,,plane,avion,,,,,,.
qaplunaaq,,2,n,,,,,,,,"stranger, not inuk","�tranger, pas inuk",,,qablu,n,1,.
qaujima,,,v,i,,,,,nil,,know,savoir,qauji/1v+ma/1vv,,,,,.
qaukpat,,,a,,,,,,,,tomorrow,demain,,,qauk,v,1,.
qautamaat,,2,a,,,,,,,,every day; daily,chaque jour; quotidiennement,,,qau,n,1,.
qimirruaq,,2,n,,,,,,,,magazine; book; newspaper,magazine; livre; journal,,,qimirru,v,1,.
qujannamiik,,1,a,,,,,,,,thank you!,merci!,quja/1v+naq/1vv+miik/1vn,,quja,v,1,.
qukiuti,,,n,,,,,,,,gun,fusil,,,,,,.
singnaktuuma,,,v,i,,,,,,,dream,r�ver,,,,,,.
sivuliqti,,1,n,,,,,,,,Premier,premier ministre,sivu/1n+liq/3nv+ji/1vn,,,,,.
sivuliuqti,,1,n,,,,,,,,Premier,premier ministre,sivu/1n+liq/3nv+uq/3vv+ji/1vn,,,,,.
sukkajukkut,,,n,,,,,,,,fax,t�l�copie,,,,,,.
summat,,1,v,i,,,,,,,why,pourquoi,,,su,,,.
taliaq,,,n,,,,,,,,wrist-watch; bracelet,montre-bracelet; bracelet,,,taliq,,,.
tallimat,,1,n,,nb,p,,,,,five; number five [WCHB; Natt.; N. Baffin],cinq,tallima/1n+t/?,,,,,.
timiquti,,,n,,,,,,,,organization,organisme,,,timi,n,1,.
timiujuq,,1,n,,,,,,,,department,d�partement,,,timi,n,1,.
titiraq,,,v,i,,,,,,,write,�crire,,,,,,.
titirarvigi,,,v,t,,,,,,,write to,�crire �,,,,,,.
titirarvik,,,n,,,,,,,,desk,bureau,,,,,,.
tukisi,,,v,i,,,,,nil,,to understand (trans.: s.t.),comprendre (trans.: qqch.),tuki/1n+si/4nv,,,,,.
tuksiaq,,1,v,i,,,,,nil,,"to pray, ask, beg, plead for s.t.","demander, qu�mander quelque chose, prier, mendier",tuksiq/1v+?,,,,,.
tuksiarvik,,,n,,,,,,,,church,�glise,tuksiaq/1v+vik/3vn,,,,,.
tusauma,,,v,i,,,,,,,to have heard of,avoir entendu � propos de,,,,,,.
uiviititut,,1,n,,,,,,,,the French language,la langue fran�aise,uivii/1n+titut/tn-sim-p,,,,,.
ullumi,,,a,,,,,,,,today,aujourd'hui,,,ubluq,n,1,.
unnuksaq,,1,n,,,,,,,,afternoon,apr�s-midi,unnuk/1n+ksaq/1nn,,,,,.
uqaalaut,,,n,,,,,,,,telephone,t�l�phone,,,,,,.
uqalimaaq,,,v,i,,,,,,,to read,lire,,,,,,.
uqallak,,2,v,i,,,,,,,to talk,parler (� quelqu'un),,,,,,.
uqalugvigi,,,v,t,,,,,,,to speak on the phone with,parler au t�l�phone avec,,,,,,.
uqaluk,,2,v,i,,,,,,,to phone,t�l�phoner,,,,,,.
uqauti,,,v,i,,,,,,,to tell (someone),dire (� quelqu'un),,,,,,.
uumajuliriji,,,n,,,,,,,,wildlife officer,officier de la faune,,,,,,.
uumajuq,,,n,,,,,,,,animal,animal,uuma/1v+juq/1vn,,,,,.
uvinngiaraq,,,v,i,,,,,,,whistle,siffler,,,,,,.
uvvalu,,1,c,,,,,,,,or,ou,,,,,,.
uvvaluunniit,,1,c,,,,,,,,or else,ou bien,,,,,,.
